Complexity,Loss,Equation
1,100821.75,"x3"
2,59965.844,"square(-8.6711855)"
3,5026.6426,"309.24103 + x4"
4,4925.506,"309.24103 + cube(x4)"
5,947.3754,"(64.97167 * x4) + 309.07"
7,913.1829,"(x4 * 64.94963) + (x2 + 309.0714)"
8,881.76746,"(308.85376 - (-64.79142 * x4)) + cube(x2)"
9,644.75,"(309.0714 + (x4 * 64.94963)) - (x2 / -0.04921287)"
11,642.31946,"(309.0714 + (x4 * 64.94963)) - ((x2 / x3) * 1.8686168)"
12,637.19354,"((cube(6.761099) - (-64.98194 * x4)) - x4) + (x2 / 0.054609675)"
13,625.3436,"((cube(6.761099) - (-64.98194 * x4)) - cube(x4)) + (x2 / 0.054609675)"
15,624.93976,"((cube(6.761099) - ((-64.98194 + -1.8256577) * x4)) - cube(x4)) + (x2 / 0.054609675)"
